Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
high-end meat and seafood connoisseur,"[205671955036, datetime.datetime(2024, 1, 19, 21, 45, 56, 524000), 'load', '美國安格斯帶骨牛小排']","[205671955036, datetime.datetime(2024, 1, 19, 21, 48, 33, 471000), 'load', '美國頂級無骨牛小排']","[205671955036, datetime.datetime(2024, 1, 19, 21, 49, 42, 298000), 'load', '家庭號優鮮原味雞塊']","[205671955036, datetime.datetime(2024, 1, 19, 21, 50, 38, 714000), 'load', '橙蜜香小蕃茄']","[205671955036, datetime.datetime(2024, 1, 19, 21, 51, 50, 368000), 'load', '日式梅花燒肉片']","[205671955036, datetime.datetime(2024, 1, 19, 21, 53, 19, 266000), 'load', '聖凱招牌牛肉麵20入自由選']","[205671955036, datetime.datetime(2024, 1, 19, 21, 54, 47, 552000), 'load', '招牌紅燒牛肉湯']","[205671955036, datetime.datetime(2024, 1, 19, 21, 56, 31, 173000), 'load', '小資黃金雞湯涮涮鍋']","[205671955036, datetime.datetime(2024, 1, 19, 22, 0, 3, 373000), 'load', '鮮凍青花菜']","[205671955036, datetime.datetime(2024, 1, 19, 22, 3, 36, 92000), 'load', '西井村超夯滷味4入自由選']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '美國安格斯帶骨牛小排']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '家庭號優鮮原味雞塊']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '日式梅花燒肉片']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '招牌紅燒牛肉湯']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '鮮凍青花菜']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '小資黃金雞湯涮涮鍋']","[205671955036, datetime.datetime(2024, 1, 19, 22, 8, 52, 224000), 'purchase', '西井村超夯滷味4入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[211677630932, datetime.datetime(2024, 3, 29, 10, 8, 11, 413000), 'load', '金目鱸魚清肉排']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '金目鱸魚清肉排']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '鮮凍智利鮭魚清肉排']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '特選煙燻雞肉片']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '日式梅花燒肉片']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '鮮凍毛豆仁']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '黃金手工花枝蝦排']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '香酥鮮嫩狹鱈魚片']","[211677630932, datetime.datetime(2024, 3, 29, 10, 15, 37, 500000), 'purchase', '舒肥雞胸輕巧隨手包單入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[208701472337, datetime.datetime(2024, 2, 23, 23, 17, 53, 270000), 'load', '美國安格斯帶骨牛小排']","[208701472337, datetime.datetime(2024, 2, 23, 23, 19, 36, 744000), 'load', '日式梅花燒肉片']","[208701472337, datetime.datetime(2024, 2, 23, 23, 21, 20, 697000), 'load', '日本A5和牛漢堡排單入任選']","[208701472337, datetime.datetime(2024, 2, 23, 23, 28, 46, 23000), 'purchase', '美國安格斯帶骨牛小排']","[208701472337, datetime.datetime(2024, 2, 23, 23, 28, 46, 23000), 'purchase', '日本A5和牛漢堡排單入任選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[207794359592, datetime.datetime(2024, 2, 13, 11, 19, 22, 372000), 'load', '特選鮮採大湖草莓']","[207794359592, datetime.datetime(2024, 2, 13, 11, 19, 51, 77000), 'load', '特選鮮採大湖草莓']","[207794359592, datetime.datetime(2024, 2, 13, 11, 39, 0, 163000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[210988216536, datetime.datetime(2024, 3, 21, 10, 30, 18, 131000), 'load', '美澳紐超值福利牛肉']","[210988216536, datetime.datetime(2024, 3, 21, 10, 35, 53, 418000), 'purchase', '美澳紐超值福利牛肉']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[209608369292, datetime.datetime(2024, 3, 5, 11, 13, 1, 178000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209608369292, datetime.datetime(2024, 3, 5, 11, 17, 31, 641000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[205502346456, datetime.datetime(2024, 1, 17, 22, 40, 19, 208000), 'load', '日式梅花燒肉片']","[205502346456, datetime.datetime(2024, 1, 17, 22, 45, 42, 926000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[210290587932, datetime.datetime(2024, 3, 13, 8, 43, 9, 953000), 'load', '美國安格斯帶骨牛小排']","[210290587932, datetime.datetime(2024, 3, 13, 8, 48, 13, 28000), 'purchase', '美國安格斯帶骨牛小排']","[210290587932, datetime.datetime(2024, 3, 13, 8, 48, 13, 28000), 'purchase', '鮮嫩無骨雞腿排/單支裝']","[210290587932, datetime.datetime(2024, 3, 13, 8, 48, 13, 28000), 'purchase', '台灣無毒鳳尾甜蝦']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[208341425998, datetime.datetime(2024, 2, 19, 19, 17, 7, 963000), 'load', '輕采養生藜麥毛豆']","[208341425998, datetime.datetime(2024, 2, 19, 19, 19, 21, 431000), 'load', '究好味菇菇米10入自由選']","[208341425998, datetime.datetime(2024, 2, 19, 19, 20, 48, 146000), 'load', '歐風黃芥籽藜麥鷹嘴豆']","[208341425998, datetime.datetime(2024, 2, 19, 19, 27, 47, 144000), 'purchase', '輕采養生藜麥毛豆']","[208341425998, datetime.datetime(2024, 2, 19, 19, 27, 47, 144000), 'purchase', '歐風黃芥籽藜麥鷹嘴豆']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[205014855490, datetime.datetime(2024, 1, 12, 7, 14, 16, 531000), 'load', '老饕級冠軍牛奶蜜棗']","[205014855490, datetime.datetime(2024, 1, 12, 7, 16, 43, 175000), 'purchase', '老饕級冠軍牛奶蜜棗']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[200046147990, datetime.datetime(2023, 11, 15, 19, 2, 29, 66000), 'load', '日本A5和牛漢堡排(2入)']","[200046147990, datetime.datetime(2023, 11, 15, 19, 3, 21, 167000), 'load', '巨無霸霜降牛排']","[200046147990, datetime.datetime(2023, 11, 15, 19, 9, 48, 532000), 'purchase', '巨無霸霜降牛排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[205932493992, datetime.datetime(2024, 1, 22, 22, 8, 17, 96000), 'load', '鴻運納財迎春宴']","[205932493992, datetime.datetime(2024, 1, 22, 22, 10, 22, 134000), 'load', '鴻運納財迎春宴']","[205932493992, datetime.datetime(2024, 1, 22, 22, 11, 6, 965000), 'load', '喜迎春富賀歲宴']","[205932493992, datetime.datetime(2024, 1, 22, 22, 17, 48, 511000), 'purchase', '喜迎春富賀歲宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[205303417298, datetime.datetime(2024, 1, 15, 15, 23, 40, 406000), 'load', '喜迎春富賀歲宴']","[205303417298, datetime.datetime(2024, 1, 15, 15, 25, 58, 630000), 'load', '豐禾小團聚']","[205303417298, datetime.datetime(2024, 1, 15, 15, 28, 45, 883000), 'load', '豐禾小團聚']","[205303417298, datetime.datetime(2024, 1, 15, 15, 38, 32, 50000), 'purchase', '喜迎春富賀歲宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[202819452587, datetime.datetime(2023, 12, 17, 21, 24, 14, 266000), 'load', '福氣黃金魚卵']","[202819452587, datetime.datetime(2023, 12, 17, 21, 29, 25, 617000), 'purchase', '福氣黃金魚卵']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[210022885424, datetime.datetime(2024, 3, 10, 6, 22, 43, 256000), 'load', '霜降骰子牛肉【買三送二】']","[210022885424, datetime.datetime(2024, 3, 10, 6, 32, 20, 510000), 'purchase', '超值老饕霜降骰子牛肉']","[210022885424, datetime.datetime(2024, 3, 10, 6, 32, 20, 510000), 'purchase', '紐西蘭菲力骰子牛']","[210022885424, datetime.datetime(2024, 3, 10, 6, 32, 20, 510000), 'purchase', '美國自然牛和牛霜降']","[210022885424, datetime.datetime(2024, 3, 10, 6, 32, 20, 510000), 'purchase', '香酥雞腿排']","[210022885424, datetime.datetime(2024, 3, 10, 6, 32, 20, 510000), 'purchase', '美式酥炸洋蔥圈']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[205818994803, datetime.datetime(2024, 1, 21, 14, 39, 23, 120000), 'load', '舒肥雞胸隨手包35包']","[205818994803, datetime.datetime(2024, 1, 21, 14, 41, 51, 410000), 'purchase', '舒肥雞胸隨手包35包']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[209463120757, datetime.datetime(2024, 3, 3, 18, 54, 8, 145000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209463120757, datetime.datetime(2024, 3, 3, 18, 56, 25, 671000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[210148161956, datetime.datetime(2024, 3, 11, 17, 16, 45, 199000), 'load', '【限量特賣】古早味豬肉']","[210148161956, datetime.datetime(2024, 3, 11, 17, 20, 14, 813000), 'purchase', '鮮嫩無骨雞腿排/單支裝']","[210148161956, datetime.datetime(2024, 3, 11, 17, 20, 14, 813000), 'purchase', '香酥雞腿排']","[210148161956, datetime.datetime(2024, 3, 11, 17, 20, 14, 813000), 'purchase', '養生藥膳舒肥嫩雞胸']","[210148161956, datetime.datetime(2024, 3, 11, 17, 20, 14, 813000), 'purchase', '百匯鮮食粥單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[205560394862, datetime.datetime(2024, 1, 18, 14, 46, 35, 827000), 'load', '特選智利鮮採櫻桃(1KG/箱)']","[205560394862, datetime.datetime(2024, 1, 18, 14, 47, 51, 211000), 'load', '特選智利鮮採櫻桃']","[205560394862, datetime.datetime(2024, 1, 18, 14, 49, 51, 116000), 'load', '特選智利鮮採櫻桃']","[205560394862, datetime.datetime(2024, 1, 18, 14, 52, 7, 234000), 'purchase', '特選智利鮮採櫻桃']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[201159705855, datetime.datetime(2023, 11, 28, 16, 21, 46, 950000), 'load', '特選鮮採大湖草莓']","[201159705855, datetime.datetime(2023, 11, 28, 16, 35, 2, 349000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[199368807106, datetime.datetime(2023, 11, 7, 22, 53, 41, 377000), 'load', '低醣飲食雞胸蔬菜任選20入']","[199368807106, datetime.datetime(2023, 11, 7, 22, 56, 27, 68000), 'purchase', '低醣飲食雞胸蔬菜任選20入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[205998628059, datetime.datetime(2024, 1, 23, 16, 30, 33, 115000), 'load', '醬漬一口鮑單入自由選']","[205998628059, datetime.datetime(2024, 1, 23, 16, 47, 46, 788000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[204800992979, datetime.datetime(2024, 1, 9, 19, 50, 21, 387000), 'load', '嫩煎古早味鐵路排骨']","[204800992979, datetime.datetime(2024, 1, 9, 19, 51, 55, 905000), 'load', '美國頂級雪花翼板牛排']","[204800992979, datetime.datetime(2024, 1, 9, 19, 55, 31, 605000), 'load', '香酥雞腿排']","[204800992979, datetime.datetime(2024, 1, 9, 19, 57, 2, 377000), 'load', '醬漬一口鮑單入自由選']","[204800992979, datetime.datetime(2024, 1, 9, 20, 4, 27, 461000), 'load', '醬漬一口鮑單入自由選']","[204800992979, datetime.datetime(2024, 1, 9, 20, 8, 42, 226000), 'purchase', '嫩煎古早味鐵路排骨']","[204800992979, datetime.datetime(2024, 1, 9, 20, 8, 42, 226000), 'purchase', '香酥雞腿排']","[204800992979, datetime.datetime(2024, 1, 9, 20, 8, 42, 226000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[206147305864, datetime.datetime(2024, 1, 25, 9, 48, 28, 378000), 'load', '醬漬一口鮑單入自由選']","[206147305864, datetime.datetime(2024, 1, 25, 9, 57, 47, 389000), 'load', '醬漬一口鮑單入自由選']","[206147305864, datetime.datetime(2024, 1, 25, 9, 59, 5, 805000), 'load', '醬漬一口鮑單入自由選']","[206147305864, datetime.datetime(2024, 1, 25, 10, 4, 35, 188000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
