Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
premium seafood enthusiast,"[210512948555, datetime.datetime(2024, 3, 15, 22, 29, 9, 146000), 'load', '日式梅花燒肉片']","[210512948555, datetime.datetime(2024, 3, 15, 22, 42, 35, 309000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end beef lover,"[208830223160, datetime.datetime(2024, 2, 25, 11, 8, 49, 925000), 'load', '台東頂級霸王釋迦']","[208830223160, datetime.datetime(2024, 2, 25, 11, 11, 0, 823000), 'load', '台東頂級霸王釋迦']","[208830223160, datetime.datetime(2024, 2, 25, 11, 13, 14, 245000), 'purchase', '台東頂級霸王釋迦']","[208830223160, datetime.datetime(2024, 2, 25, 11, 19, 16, 794000), 'purchase', '台東頂級霸王釋迦']","[208830223160, datetime.datetime(2024, 2, 25, 11, 25, 5, 81000), 'purchase', '台東頂級霸王釋迦']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[210547449885, datetime.datetime(2024, 3, 16, 8, 4, 11, 746000), 'load', '鮮採台農一號百香果']","[210547449885, datetime.datetime(2024, 3, 16, 8, 11, 37, 517000), 'purchase', '鮮採台農一號百香果']","[210547449885, datetime.datetime(2024, 3, 16, 8, 11, 37, 517000), 'purchase', '美國安格斯帶骨牛小排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snack and convenience food shopper,"[205488386171, datetime.datetime(2024, 1, 17, 18, 46, 29, 51000), 'load', '【基食堂】脆皮豬燒肉']","[205488386171, datetime.datetime(2024, 1, 17, 19, 6, 37, 656000), 'load', '【基食堂】脆皮豬燒肉']","[205488386171, datetime.datetime(2024, 1, 17, 19, 9, 47, 835000), 'purchase', '【基食堂】脆皮豬燒肉']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end beef lover,"[203663914727, datetime.datetime(2023, 12, 27, 15, 58, 37, 148000), 'load', '宜蘭招牌西魯肉']","[203663914727, datetime.datetime(2023, 12, 27, 16, 20, 7, 424000), 'purchase', '宜蘭招牌西魯肉']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end and premium food lover,"[205490075040, datetime.datetime(2024, 1, 17, 19, 14, 37, 762000), 'load', '豐禾小團聚']","[205490075040, datetime.datetime(2024, 1, 17, 19, 17, 51, 513000), 'purchase', '豐禾小團聚']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end beef lover,"[209605767854, datetime.datetime(2024, 3, 5, 10, 29, 29, 223000), 'load', '舒肥雞胸輕巧隨手包(20包)']","[209605767854, datetime.datetime(2024, 3, 5, 10, 30, 20, 462000), 'load', '舒肥雞胸輕巧隨手包(20包)']","[209605767854, datetime.datetime(2024, 3, 5, 10, 31, 3, 611000), 'load', '舒肥雞胸輕巧隨手包(30包)']","[209605767854, datetime.datetime(2024, 3, 5, 10, 36, 35, 585000), 'load', '舒肥雞胸輕巧隨手包(20包)']","[209605767854, datetime.datetime(2024, 3, 5, 10, 52, 52, 429000), 'load', '舒肥雞胸輕巧隨手包(30包)']","[209605767854, datetime.datetime(2024, 3, 5, 11, 27, 16, 137000), 'purchase', '舒肥雞胸輕巧隨手包(30包)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[205740647635, datetime.datetime(2024, 1, 20, 16, 51, 17, 24000), 'load', '甜蜜蜜砂糖橘']","[205740647635, datetime.datetime(2024, 1, 20, 16, 53, 24, 840000), 'load', '台南鹽地小蕃茄']","[205740647635, datetime.datetime(2024, 1, 20, 16, 56, 34, 787000), 'load', '鮮採特選茂谷柑']","[205740647635, datetime.datetime(2024, 1, 20, 17, 0, 23, 378000), 'purchase', '鮮採特選茂谷柑']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese specialty enthusiast,"[206890197008, datetime.datetime(2024, 2, 3, 0, 9, 58, 755000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206890197008, datetime.datetime(2024, 2, 3, 0, 12, 6, 365000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[203514638619, datetime.datetime(2023, 12, 25, 22, 32, 26, 873000), 'load', '黃金竹筴魚一夜干']","[203514638619, datetime.datetime(2023, 12, 25, 22, 33, 45, 117000), 'load', '日式梅花燒肉片']","[203514638619, datetime.datetime(2023, 12, 25, 22, 37, 8, 556000), 'purchase', '招牌紅燒牛肉湯']","[203514638619, datetime.datetime(2023, 12, 25, 22, 37, 8, 556000), 'purchase', '黃金竹筴魚一夜干']","[203514638619, datetime.datetime(2023, 12, 25, 22, 37, 8, 556000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[210823476529, datetime.datetime(2024, 3, 19, 12, 45, 11, 875000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[210823476529, datetime.datetime(2024, 3, 19, 12, 45, 33, 8000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[210823476529, datetime.datetime(2024, 3, 19, 12, 56, 1, 620000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[210823476529, datetime.datetime(2024, 3, 19, 13, 6, 3, 414000), 'purchase', '南方澳鮮撈無鹽鯖魚(2片)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[204349963787, datetime.datetime(2024, 1, 4, 14, 33, 16, 755000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[204349963787, datetime.datetime(2024, 1, 4, 14, 36, 15, 256000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[204349963787, datetime.datetime(2024, 1, 4, 14, 40, 59, 92000), 'purchase', '南方澳鮮撈無鹽鯖魚(2片)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end and premium food lover,"[201700015905, datetime.datetime(2023, 12, 4, 22, 26, 56, 984000), 'load', '日本A5和牛漢堡排(2入)']","[201700015905, datetime.datetime(2023, 12, 4, 22, 30, 6, 21000), 'load', '限量特賣 土魠菲力一夜干']","[201700015905, datetime.datetime(2023, 12, 4, 22, 31, 59, 390000), 'load', '西班牙頂級霜降松阪豬']","[201700015905, datetime.datetime(2023, 12, 4, 22, 33, 15, 406000), 'load', '【限量特賣】綜合野菜脆片']","[201700015905, datetime.datetime(2023, 12, 4, 22, 34, 35, 822000), 'load', '超好吃水果蔬菜脆片12入']","[201700015905, datetime.datetime(2023, 12, 4, 22, 35, 49, 576000), 'load', '舒肥雞胸輕巧隨手包單入']","[201700015905, datetime.datetime(2023, 12, 4, 22, 36, 26, 985000), 'load', '低醣飲食雞胸蔬菜任選20入']","[201700015905, datetime.datetime(2023, 12, 4, 22, 36, 46, 502000), 'load', '舒肥雞胸輕巧隨手包單入']","[201700015905, datetime.datetime(2023, 12, 4, 22, 38, 39, 726000), 'load', '日本A5和牛漢堡排(2入)']","[201700015905, datetime.datetime(2023, 12, 4, 22, 59, 52, 665000), 'purchase', '日本A5和牛漢堡排(2入)']","[201700015905, datetime.datetime(2023, 12, 4, 22, 59, 52, 665000), 'purchase', '限量特賣 土魠菲力一夜干']","[201700015905, datetime.datetime(2023, 12, 4, 22, 59, 52, 665000), 'purchase', '超大無毒白蝦仁 150g']","[201700015905, datetime.datetime(2023, 12, 4, 22, 59, 52, 665000), 'purchase', '舒肥雞胸輕巧隨手包單入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[199363059992, datetime.datetime(2023, 11, 7, 21, 18, 26, 775000), 'load', '舒肥雞胸輕巧隨手包(20包)']","[199363059992, datetime.datetime(2023, 11, 7, 21, 19, 52, 584000), 'load', '美國頂級無骨牛小排']","[199363059992, datetime.datetime(2023, 11, 7, 21, 20, 24, 714000), 'load', '美國安格斯帶骨牛小排']","[199363059992, datetime.datetime(2023, 11, 7, 21, 20, 53, 871000), 'load', '美國頂級雪花翼板牛排']","[199363059992, datetime.datetime(2023, 11, 7, 21, 22, 14, 865000), 'load', '美國頂級翼板牛肉片']","[199363059992, datetime.datetime(2023, 11, 7, 21, 25, 10, 560000), 'load', '低醣飲食雞胸蔬菜任選20入']","[199363059992, datetime.datetime(2023, 11, 7, 21, 48, 31, 312000), 'purchase', '美國頂級雪花翼板牛排']","[199363059992, datetime.datetime(2023, 11, 7, 21, 48, 31, 312000), 'purchase', '美國頂級翼板牛肉片']","[199363059992, datetime.datetime(2023, 11, 7, 21, 48, 31, 312000), 'purchase', '低醣飲食雞胸蔬菜任選20入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[204522964625, datetime.datetime(2024, 1, 6, 14, 36, 7, 60000), 'load', '鮮採蜜風鈴蓮霧']","[204522964625, datetime.datetime(2024, 1, 6, 14, 41, 47, 82000), 'load', '鮮採蜜風鈴蓮霧']","[204522964625, datetime.datetime(2024, 1, 6, 14, 44, 23, 507000), 'purchase', '鮮採蜜風鈴蓮霧']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[210430754803, datetime.datetime(2024, 3, 14, 23, 39, 31, 77000), 'load', '特選鮮採大湖草莓']","[210430754803, datetime.datetime(2024, 3, 14, 23, 40, 35, 168000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[200475673168, datetime.datetime(2023, 11, 20, 18, 21, 21, 858000), 'load', '美國頂級無骨牛小排']","[200475673168, datetime.datetime(2023, 11, 20, 18, 22, 1, 814000), 'load', '美國頂級雪花翼板牛排']","[200475673168, datetime.datetime(2023, 11, 20, 18, 22, 39, 299000), 'load', '西班牙手切伊比利松阪豬']","[200475673168, datetime.datetime(2023, 11, 20, 18, 25, 30, 991000), 'purchase', '美國頂級無骨牛小排']","[200475673168, datetime.datetime(2023, 11, 20, 18, 25, 30, 991000), 'purchase', '美國頂級雪花翼板牛排']","[200475673168, datetime.datetime(2023, 11, 20, 18, 25, 30, 991000), 'purchase', '西班牙手切伊比利松阪豬']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[207983112958, datetime.datetime(2024, 2, 15, 15, 45, 20, 871000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[207983112958, datetime.datetime(2024, 2, 15, 15, 47, 27, 342000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']","[207983112958, datetime.datetime(2024, 2, 15, 15, 52, 3, 307000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
